date;time;open;high;low;close;volume
01/08/2025;08:00;4000;4005;3998;4003;100
01/08/2025;08:01;4003;4008;4000;4006;110
01/08/2025;08:02;4006;4012;4005;4010;120
01/08/2025;08:03;4010;4015;4008;4013;130
01/08/2025;08:04;4013;4017;4010;4015;125
01/08/2025;08:05;4015;4020;4013;4018;140
01/08/2025;08:06;4018;4025;4015;4022;130
01/08/2025;08:07;4022;4028;4020;4025;135
01/08/2025;08:08;4025;4030;4023;4028;140
01/08/2025;08:09;4028;4035;4025;4032;145
01/08/2025;08:10;4032;4038;4030;4035;150
01/08/2025;08:11;4035;4040;4033;4038;140
01/08/2025;08:12;4038;4045;4035;4042;130
01/08/2025;08:13;4042;4048;4040;4045;120
01/08/2025;08:14;4045;4050;4043;4047;110
01/08/2025;08:15;4047;4055;4045;4050;115
01/08/2025;08:16;4050;4058;4048;4055;120
01/08/2025;08:17;4055;4062;4053;4060;130
01/08/2025;08:18;4060;4065;4058;4063;140
01/08/2025;08:19;4063;4070;4060;4068;150
01/08/2025;08:20;4068;4075;4065;4070;160
01/08/2025;08:21;4070;4078;4068;4075;170
01/08/2025;08:22;4075;4080;4070;4078;165
01/08/2025;08:23;4078;4085;4075;4083;160
01/08/2025;08:24;4083;4088;4080;4085;155
01/08/2025;08:25;4085;4090;4083;4087;150
01/08/2025;08:26;4087;4092;4085;4089;140
01/08/2025;08:27;4089;4095;4087;4093;130
01/08/2025;08:28;4093;4098;4090;4095;125
01/08/2025;08:29;4095;4100;4093;4098;120
